date_time,Stacking_selected_features
2017-05-18 00:00:00,1771.4668
2017-05-18 00:00:00,2077.991
2017-05-18 00:00:00,4214.4487
2017-05-18 01:00:00,2283.5876
2017-05-18 01:00:00,1935.0974
2017-05-18 02:00:00,2815.401
2017-05-18 02:00:00,3250.686
2017-05-18 02:00:00,2866.8987
2017-05-18 03:00:00,2530.3066
2017-05-18 03:00:00,4086.1804
2017-05-18 03:00:00,1691.3632
2017-05-18 04:00:00,2239.357
2017-05-18 04:00:00,2988.308
2017-05-18 04:00:00,3014.4268
2017-05-18 05:00:00,3050.5437
2017-05-18 05:00:00,4017.6133
2017-05-18 05:00:00,3217.4998
2017-05-18 06:00:00,4724.455
2017-05-18 06:00:00,4651.351
2017-05-18 07:00:00,3532.4214
2017-05-18 07:00:00,2299.3005
2017-05-18 08:00:00,2784.16
2017-05-18 08:00:00,2654.6704
2017-05-18 08:00:00,3056.41
2017-05-18 09:00:00,3303.7031
2017-05-18 09:00:00,3123.6099
2017-05-18 09:00:00,3330.931
2017-05-18 10:00:00,3805.2942
2017-05-18 10:00:00,4027.167
2017-05-18 11:00:00,2257.9194
2017-05-18 12:00:00,1778.4058
2017-05-18 13:00:00,2051.0176
2017-05-18 14:00:00,2928.7107
2017-05-18 15:00:00,3323.3767
2017-05-18 16:00:00,2397.3674
2017-05-18 17:00:00,1966.3386
2017-05-18 18:00:00,2935.0208
2017-05-18 19:00:00,3388.838
2017-05-18 20:00:00,3628.979
2017-05-18 21:00:00,3073.2163
2017-05-18 22:00:00,1807.6016
2017-05-18 23:00:00,1873.8054
2017-05-19 00:00:00,2561.3232
2017-05-19 01:00:00,2682.8904
2017-05-19 02:00:00,1673.8683
2017-05-19 03:00:00,2468.567
2017-05-19 04:00:00,2066.278
2017-05-19 05:00:00,2348.5337
2017-05-19 06:00:00,1655.0414
2017-05-19 07:00:00,2378.9277
2017-05-19 08:00:00,3367.7656
2017-05-19 09:00:00,2346.123
2017-05-19 10:00:00,2343.1428
2017-05-19 11:00:00,2690.4336
2017-05-19 12:00:00,2849.0283
2017-05-19 13:00:00,3582.5974
2017-05-19 14:00:00,3805.018
2017-05-19 15:00:00,2477.339
2017-05-19 16:00:00,2807.6309
2017-05-19 17:00:00,3539.8596
2017-05-19 18:00:00,2959.382
2017-05-19 19:00:00,2421.53
2017-05-19 20:00:00,2463.06
2017-05-19 21:00:00,3813.4795
2017-05-19 22:00:00,1330.6416
2017-05-19 23:00:00,3603.335
2017-05-20 00:00:00,3665.9407
2017-05-20 01:00:00,3919.8403
2017-05-20 02:00:00,3539.3362
2017-05-20 03:00:00,3158.3528
2017-05-20 04:00:00,3986.771
2017-05-20 05:00:00,3330.2268
2017-05-20 06:00:00,2578.7607
2017-05-20 07:00:00,3076.6194
2017-05-20 08:00:00,3891.2737
2017-05-20 09:00:00,2939.4414
2017-05-20 09:00:00,3492.5889
2017-05-20 10:00:00,2739.2368
2017-05-20 10:00:00,2978.657
2017-05-20 11:00:00,4578.942
2017-05-20 11:00:00,2957.6255
2017-05-20 11:00:00,4336.275
2017-05-20 12:00:00,3242.7312
2017-05-20 12:00:00,2826.4805
2017-05-20 13:00:00,3385.34
2017-05-20 13:00:00,3438.5457
2017-05-20 14:00:00,3297.4573
2017-05-20 14:00:00,3629.5984
2017-05-20 15:00:00,3764.2053
2017-05-20 15:00:00,2634.35
2017-05-20 16:00:00,3291.276
2017-05-20 16:00:00,2831.3804
2017-05-20 17:00:00,1625.705
2017-05-20 17:00:00,2049.0095
2017-05-20 18:00:00,3271.5059
2017-05-20 18:00:00,3399.8838
2017-05-20 18:00:00,3690.527
2017-05-20 19:00:00,2352.2358
2017-05-20 19:00:00,4190.4507
2017-05-20 19:00:00,4151.4585
2017-05-20 20:00:00,1866.8955
2017-05-20 20:00:00,2261.8184
2017-05-20 20:00:00,1936.8553
2017-05-20 21:00:00,2089.886
2017-05-20 21:00:00,1959.6718
2017-05-20 21:00:00,2807.897
2017-05-20 22:00:00,2594.6592
2017-05-20 22:00:00,2561.1978
2017-05-20 22:00:00,2157.9944
2017-05-20 23:00:00,3920.6472
2017-05-20 23:00:00,2272.7068
